"Station","Temp C","Day Of Year"
"ST-001",4.23,263
"ST-005",3.23,175
"ST-001",12.39,38
"ST-001",2.41,108
"ST-002",13.52,244
"ST-004",22.38,171
"ST-002",3.73,350
"ST-002",6.09,49
"ST-001",12.37,281
"ST-004",3.86,74
"ST-001",8.93,147
"ST-005",18.98,170
"ST-006",19.76,317
"ST-004",15.07,201
"ST-002",-2.81,91
"ST-002",11.57,72
"ST-003",20.52,327
"ST-001",18.51,16
"ST-001",10.47,72
"ST-003",-9.6,151
"ST-004",12.49,213
"ST-005",16.59,60
"ST-005",12.37,208
"ST-005",13.26,95
"ST-004",15.45,349
"ST-002",8.83,171
"ST-004",22.48,185
"ST-003",15.76,155
"ST-002",2.06,74
"ST-001",23.05,146
"ST-002",21.64,16
"ST-006",18.59,200
"ST-003",-1.3,85
"ST-006",7.45,101
"ST-002",17.08,151
"ST-004",12.35,250
"ST-004",14.78,2
"ST-006",31.68,128
"ST-002",5.45,247
"ST-005",-4.91,348
"ST-004",14.19,234
"ST-005",6.5,182
"ST-004",15.57,125
"ST-002",5.5,73
"ST-002",29.7,289
"ST-003",11.01,109
"ST-001",8.18,211
"ST-005",10.67,161
"ST-002",18.9,139
"ST-002",12.78,320
"ST-006",-1,61
"ST-006",11.96,91
"ST-002",18.08,188
"ST-004",12.31,208
"ST-003",17.88,51
"ST-006",10.83,87
"ST-005",11.54,168
"ST-002",15.86,309
"ST-006",19.94,211
"ST-002",2.03,236
"ST-002",11.73,303
"ST-005",11.43,289
"ST-001",5.93,207
"ST-001",3.73,72
"ST-004",6.95,6
"ST-005",16.69,43
"ST-002",8.67,354
"ST-001",5.72,222
"ST-005",13.31,180
"ST-004",2.11,101
"ST-004",20.37,255
"ST-001",8.12,165
"ST-003",13.51,219
"ST-003",12.41,283
"ST-005",12,177
"ST-005",26.48,145
"ST-004",5.4,62
"ST-006",21.16,337
"ST-005",12.25,119
"ST-004",5.32,26
"ST-006",11.45,350
"ST-002",17.97,313
"ST-002",8.6,249
"ST-001",5.82,283
"ST-002",13.22,333
"ST-005",19.91,82
"ST-006",11.41,131
"ST-005",0.9,213
"ST-004",1.55,330
"ST-001",5.85,161
"ST-004",7.78,11
"ST-002",11.83,13
"ST-002",17.36,109
"ST-003",8.52,232
"ST-005",3.09,36
"ST-005",16.86,14
"ST-006",14.2,69
"ST-003",21.26,185
"ST-006",-1.46,84
"ST-004",12.7,243
"ST-005",22.83,215
"ST-001",17.79,302
"ST-004",5.34,275
"ST-001",17.86,175
